listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0257,,Particulier Facebook,Renault,Clio,III,2009,18000000,18M Ar,MGA,private_market,False,175000,175000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0258,,Particulier Facebook,Renault,Clio,IV,2013,27000000,27M Ar,MGA,private_market,False,145000,145000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0259,,Particulier Facebook,Renault,Clio,V,2016,44000000,44M Ar,MGA,private_market,False,110000,110000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0260,,Particulier Facebook,Renault,Duster,,2017,55000000,55M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0261,,Particulier Facebook,Renault,Kangoo,,2010,37000000,37M Ar,MGA,private_market,False,200000,200000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0262,,Particulier Facebook,Citroen,DS3,,2014,55000000,55M Ar,MGA,private_market,False,145000,145000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0263,,Particulier Facebook,Citroen,DS4,,2014,60000000,60M Ar,MGA,private_market,False,145000,145000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0264,,Particulier Facebook,Citroen,DS5,,2016,67000000,67M Ar,MGA,private_market,False,120000,120000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0265,,Particulier Facebook,Land Rover,90,,1998,110000000,110M Ar,MGA,private_market,False,300000,300000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0266,,Particulier Facebook,Land Rover,110,,2006,170000000,170M Ar,MGA,private_market,False,200000,200000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0267,,Particulier Facebook,Chevrolet,Cruze,,2011,27000000,27M Ar,MGA,private_market,False,135000,135000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0268,,Particulier Facebook,Chevrolet,Malibu,,2016,36000000,36M Ar,MGA,private_market,False,150000,150000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0269,,Particulier Facebook,Chevrolet,Spark,,2010,28000000,28M Ar,MGA,private_market,False,140000,140000 km,Essence,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0270,,Particulier Facebook,Chevrolet,Captiva,I,2007,25000000,25M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0271,,Particulier Facebook,Chevrolet,Captiva,II,2011,37000000,37M Ar,MGA,private_market,False,165000,165000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0272,,Particulier Facebook,Jeep,Wrangler,3p,2013,85000000,85M Ar,MGA,private_market,False,180000,180000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0273,,Particulier Facebook,Jeep,Wrangler,5p,2015,95000000,95M Ar,MGA,private_market,False,170000,170000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0274,,Particulier Facebook,Jeep,cherokee,,2015,80000000,80M Ar,MGA,private_market,False,200000,200000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
